,Label,Text
5150,0,"Happy new year to u and ur family...may this new year bring happiness , stability and tranquility to ur vibrant colourful life:):)"
2562,0,And maybe some pressies
3027,0,I finished my lunch already. U wake up already?
5112,1,December only! Had your mobile 11mths+? You are entitled to update to the latest colour camera mobile for Free! Call The Mobile Update VCo FREE on 08002986906 
1423,1,Congratulations ur awarded either £500 of CD gift vouchers & Free entry 2 our £100 weekly draw txt MUSIC to 87066 TnCs www.Ldew.com 1 win150ppmx3age16
656,0,Tell them the drug dealer's getting impatient
3968,1,YOU HAVE WON! As a valued Vodafone customer our computer has picked YOU to win a £150 prize. To collect is easy. Just call 09061743386
5137,1,"YOU VE WON! Your 4* Costa Del Sol Holiday or £5000 await collection. Call 09050090044 Now toClaim. SAE, TC s, POBox334, Stockport, SK38xh, Cost£1.50/pm, Max10mins"
2102,0,I thk 530 lor. But dunno can get tickets a not. Wat u doing now?
632,0,Thank u!
3578,0,Yeah confirmed for you staying at  that weekend
2493,0,No drama Pls.i have had enough from you and family while i am struggling in the hot sun in a strange place.No reason why there should be an ego of not going 'IF NOT INVITED' when actually its necessity to go.wait for very serious reppurcussions.
2665,0,He remains a bro amongst bros
3984,0,Nationwide auto centre (or something like that) on Newport road. I liked them there
4316,0,Captain is in our room:)
4091,1,We tried to call you re your reply to our sms for a video mobile 750 mins UNLIMITED TEXT + free camcorder Reply of call 08000930705 Now
3834,0,I had askd u a question some hours before. Its answer
3833,0,Ok.
4275,0,Ball is moving a lot.will spin in last :)so very difficult to bat:)
2500,0,Yup i've finished c ü there...
1465,0,Wat makes u thk i'll fall down. But actually i thk i'm quite prone 2 falls. Lucky my dad at home i ask him come n fetch me already.
3501,1,Dorothy@kiefer.com (Bank of Granite issues Strong-Buy) EXPLOSIVE PICK FOR OUR MEMBERS *****UP OVER 300% *********** Nasdaq Symbol CDGT That is a $5.00 per..
4508,0,He neva grumble but i sad lor... Hee... Buy tmr lor aft lunch. But we still meetin 4 lunch tmr a not. Neva hear fr them lei. Ü got a lot of work ar?
115,0,"Wa, ur openin sentence very formal... Anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...Haha... So anythin special happened?"
1821,0,I'll probably be by tomorrow (or even later tonight if something's going on)
1494,0,How are you with moneY...as in to you...money aint a thing....how are you sha!
2401,0,Hi! This is Roger from CL. How are you?
1232,0,have got * few things to do. may be in * pub later.
2661,0,Want to finally have lunch today?
2817,0,Genius what's up. How your brother. Pls send his number to my skype.
3551,0,"Dad wanted to talk about the apartment so I got a late start, omw now"
5094,0,"Hi Shanil,Rakhesh here.thanks,i have exchanged the uncut diamond stuff.leaving back. Excellent service by Dino and Prem."
1153,0,Ok i go change also...
5316,0,Jus finish watching tv... U?
4954,0,I lost 4 pounds since my doc visit last week woot woot! Now I'm gonna celebrate by stuffing my face!
57,0,"Sorry, I'll call later in meeting."
4157,0,"Yo, call me when you get the chance, a friend of mine wanted me to ask you about a big order"
5098,1,"TheMob>Hit the link to get a premium Pink Panther game, the new no. 1 from Sugababes, a crazy Zebra animation or a badass Hoody wallpaper-all 4 FREE!"
4770,0,watever reLation u built up in dis world only thing which remains atlast iz lonlines with lotz n lot memories! feeling..
5509,0,Lol they were mad at first but then they woke up and gave in.
1735,0,"I think we're going to finn's now, come"
5023,0,Yes its possible but dint try. Pls dont tell to any one k
2823,1,ROMCAPspam Everyone around should be responding well to your presence since you are so warm and outgoing. You are bringing in a real breath of sunshine.
2196,0,"V-aluable. A-ffectionate. L-oveable. E-ternal. N-oble. T-ruthful. I-ntimate. N-atural. E-namous. Happy ""VALENTINES DAY"" in advance"
159,1,Customer service annoncement. You have a New Years delivery waiting for you. Please call 07046744435 now to arrange delivery
2475,0,"Princess, i like to make love  &lt;#&gt;  times per night. Hope thats not a problem!"
2564,0,K..k..i'm also fine:)when will you complete the course?
3996,0,R u in this continent?
3657,0,Oh really?? Did you make it on air? What's your talent?
2608,0,:-) yeah! Lol. Luckily i didn't have a starring role like you!
4311,1,Someone U know has asked our dating service 2 contact you! Cant Guess who? CALL 09058091854 NOW all will be revealed. PO BOX385 M6 6WU
707,0,So when do you wanna gym harri
3046,0,"Hello, yeah i've just got out of the bath and need to do my hair so i'll come up when i'm done, yeah?"
4761,0,I'm home. Doc gave me pain meds says everything is fine.
1093,0,Where r we meeting?
4257,0,Aah! A cuddle would be lush! I'd need lots of tea and soup before any kind of fumbling!
1376,0,We're finally ready fyi
5473,0,Ok lor ü reaching then message me.
72,0,HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX
1922,0,No current and food here. I am alone also
3928,0,Lol ... I really need to remember to eat when I'm drinking but I do appreciate you keeping me company that night babe *smiles*
1764,0,Joy's father is John. Then John is the NAME of Joy's father. Mandan
743,0,Just got up. have to be out of the room very soon. …. i hadn't put the clocks back til at 8 i shouted at everyone to get up and then realised it was 7. wahay. another hour in bed.
3557,0,Ok lor. I'm in town now lei.
1005,0,Umma. Did she say anything
2668,0,Why de. You looking good only:-)..
1190,0,In that case I guess I'll see you at campus lodge
3950,0,HMM yeah if your not too grooved out! And im looking forward to my pound special :)
2601,0,"As usual..iam fine, happy &amp; doing well..:)"
1125,0,Aiyar sorry lor forgot 2 tell u...
1241,0,Oh yes I can speak txt 2 u no! Hmm. Did u get  email?
3523,0,"Im sorry bout last nite it wasnt ur fault it was me, spouse it was pmt or sumthin! U 4give me? I think u shldxxxx"
4600,0,Have you laid your airtel line to rest?
5252,0,You do your studies alone without anyones help. If you cant no need to study.
3351,0,Sorry i cant take your call right now. It so happens that there r 2waxsto do wat you want. She can come and ill get her medical insurance. And she'll be able to deliver and have basic care. I'm currently shopping for the right medical insurance for her. So just give me til friday morning. Thats when i.ll see the major person that can guide me to the right insurance.
998,0,Not a lot has happened here. Feels very quiet. Beth is at her aunts and charlie is working lots. Just me and helen in at the mo. How have you been? 
4399,0,"Can you tell Shola to please go to college of medicine and visit the academic department, tell the academic secretary what the current situation is and ask if she can transfer there. She should ask someone to check Sagamu for the same thing and lautech. Its vital she completes her medical education in Nigeria. Its less expensive much less expensive. Unless she will be getting citizen rates in new zealand."
3518,0,"So you think i should actually talk to him? Not call his boss in the morning? I went to this place last year and he told me where i could go and get my car fixed cheaper. He kept telling me today how much he hoped i would come back in, how he always regretted not getting my number, etc."
2684,0,I'm okay. Chasing the dream. What's good. What are you doing next.
4834,1,"New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today! From ONLY £1. www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18 TXTAUCTION."
1577,0,No. To be nosy I guess. Idk am I over reacting if I'm freaked?
5337,0,My birthday is on feb  &lt;#&gt;  da. .
1826,0,Wat makes some people dearer is not just de happiness dat u feel when u meet them but de pain u feel when u miss dem!!!
4073,1,Loans for any purpose even if you have Bad Credit! Tenants Welcome. Call NoWorriesLoans.com on 08717111821
5557,0,No. I meant the calculation is the same. That  &lt;#&gt; units at  &lt;#&gt; . This school is really expensive. Have you started practicing your accent. Because its important. And have you decided if you are doing 4years of dental school or if you'll just do the nmde exam.
4299,1,"WELL DONE! Your 4* Costa Del Sol Holiday or £5000 await collection. Call 09050090044 Now toClaim. SAE, TCs, POBox334, Stockport, SK38xh, Cost£1.50/pm, Max10mins"
4606,0,"I need an 8th but I'm off campus atm, could I pick up in an hour or two?"
440,0,But i have to. I like to have love and arrange.
5515,0,You are a great role model. You are giving so much and i really wish each day for a miracle but God as a reason for everything and i must say i wish i knew why but i dont. I've looked up to you since i was young and i still do. Have a great day.
1100,0,Been up to ne thing interesting. Did you have a good birthday? When are u wrking nxt? I started uni today.
2637,0,Thank god they are in bed!
3786,0,Let me know if you need anything else. Salad or desert or something... How many beers shall i get?
649,0,No prob. I will send to your email.
1546,0,"Good afternoon, my love ! Any job prospects ? Are you missing me ? What do you do ? Are you being lazy and bleak, hmmm ? Or happy and filled with my love ?"
3231,0,"I feel like a dick because I keep sleeping through your texts and facebook messages. Sup, you in town?"
4240,0,"Sez, hows u & de arab boy? Hope u r all good give my love 2 evry1 love ya eshxxxxxxxxxxx"
4256,1,Block Breaker now comes in deluxe format with new features and great graphics from T-Mobile. Buy for just £5 by replying GET BBDELUXE and take the challenge
3917,0,Ok. C u then.
5508,0,"Machan you go to gym tomorrow,  i wil come late goodnight."
4361,0,"Night sweet, sleep well! I've just been to see The Exorcism of Emily Rose and may never sleep again! Hugs and snogs! "
630,1,Todays Vodafone numbers ending with 4882 are selected to a receive a £350 award. If your number matches call 09064019014 to receive your £350 award.
672,1,"SMS. ac sun0819 posts HELLO:""You seem cool, wanted to say hi. HI!!!"" Stop? Send STOP to 62468"
1249,0,"HI HUN! IM NOT COMIN 2NITE-TELL EVERY1 IM SORRY 4 ME, HOPE U AVA GOODTIME!OLI RANG MELNITE IFINK IT MITE B SORTED,BUT IL EXPLAIN EVERYTHIN ON MON.L8RS.x"
3567,0,Its ok..come to my home it vl nice to meet and v can chat..
482,0,"Yo carlos, a few friends are already asking me about you, you working at all this weekend?"
1584,0,"It's cool, let me know before it kicks off around  &lt;#&gt; , I'll be out and about all day"
3805,0,"No dude, its not fake..my frnds got money, thts y i'm reffering u..if u member wit my mail link, u vl be credited  &lt;#&gt; rs and il be getiing  &lt;#&gt; rs..i can draw my acc wen it is  &lt;#&gt; rs.."
5154,0,"Like  &lt;#&gt; , same question"
3765,0,Would me smoking you out help us work through this difficult time
1462,0,Kinda. First one gets in at twelve! Aah. Speak tomo
3040,0,"Wishing you and your family Merry ""X"" mas and HAPPY NEW Year in advance.."
4473,1,3. You have received your mobile content. Enjoy
4290,0,"Okay, good, no problem, and thanx!"
5547,1,"Had your contract mobile 11 Mnths? Latest Motorola, Nokia etc. all FREE! Double Mins & Text on Orange tariffs. TEXT YES for callback, no to remove from records."
3273,0,"MOON has come to color your dreams, STARS to make them musical and my SMS to give you warm and Peaceful Sleep. Good Night"
3238,0,Ron say fri leh. N he said ding tai feng cant make reservations. But he said wait lor.
3131,0,Ok. But i finish at 6.
2578,0,Hey whats up? U sleeping all morning?
4398,0,When did dad get back.
49,0,U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.
4771,0,CHEERS LOU! YEAH WAS A GOODNITE SHAME U NEVA CAME! C YA GAILxx
3784,0,Can you do online transaction?
858,0,Hai ana tomarrow am coming on morning.  &lt;DECIMAL&gt;  ill be there in sathy then we ll go to RTO office. Reply me after came to home.
3225,0,Sorry da thangam.it's my mistake.
1072,1,URGENT! We are trying to contact U. Todays draw shows that you have won a £800 prize GUARANTEED. Call 09050003091 from land line. Claim C52. Valid12hrs only
719,1,You have WON a guaranteed £1000 cash or a £2000 prize. To claim yr prize call our customer service representative on 08714712394 between 10am-7pm
3910,0,Serious? What like proper tongued her
2631,0,No way I'm going back there!
5428,0,You didnt complete your gist oh.
1660,0,"Yeah, where's your class at?"
1656,0,At 7 we will go ok na.
2425,0,Oh k k:)but he is not a big hitter.anyway good
4233,0,I'm at home. Please call
4704,0,Mmmmmmm *snuggles into you* ...*deep contented sigh* ... *whispers* ... I fucking love you so much I can barely stand it ...
5540,1,ASKED 3MOBILE IF 0870 CHATLINES INCLU IN FREE MINS. INDIA CUST SERVs SED YES. L8ER GOT MEGA BILL. 3 DONT GIV A SHIT. BAILIFF DUE IN DAYS. I O £250 3 WANT £800
4094,0,"Life is nothing wen v get everything. But ""life is everything wen v miss something "". Real value of people wil be realized only in their absence.... gud mrng"
3097,0,We walked from my moms. Right on stagwood pass right on winterstone left on victors hill. Address is &lt;#&gt;
4990,0,So your telling me I coulda been your real Valentine and I wasn't? U never pick me for NOTHING!!
4088,1,PRIVATE! Your 2003 Account Statement for 07973788240 shows 800 un-redeemed S. I. M. points. Call 08715203649 Identifier Code: 40533 Expires 31/10/04
5295,0,Alex says he's not ok with you not being ok with it
3189,1,"This is the 2nd time we have tried 2 contact u. U have won the 750 Pound prize. 2 claim is easy, call 08712101358 NOW! Only 10p per min. BT-national-rate"
2934,0,Yo do you know anyone  &lt;#&gt;  or otherwise able to buy liquor? Our guy flaked and right now if we don't get a hold of somebody its just 4 loko all night
4596,0,Yo sorry was in the shower sup
3848,1,"Fantasy Football is back on your TV. Go to Sky Gamestar on Sky Active and play £250k Dream Team. Scoring starts on Saturday, so register now!SKY OPT OUT to 88088"
2606,0,HELLO U.CALL WEN U FINISH WRK.I FANCY MEETIN UP WIV U ALL TONITE AS I NEED A BREAK FROM DABOOKS. DID 4 HRS LAST NITE+2 TODAY OF WRK!
1385,0,"Storming msg: Wen u lift d phne, u say ""HELLO"" Do u knw wt is d real meaning of HELLO?? . . . It's d name of a girl..! . . . Yes.. And u knw who is dat girl?? ""Margaret Hello"" She is d girlfrnd f Grahmbell who invnted telphone... . . . . Moral:One can 4get d name of a person, bt not his girlfrnd... G o o d n i g h t . . .@"
4421,0,Ok i msg u b4 i leave my house.
1399,0,No did you check? I got his detailed message now
1195,0,Ok... C ya...
1408,0,Then we gotta do it after that
1845,0,Da is good good player.why he is unsold.
1798,0,Can i get your opinion on something first?
1475,0,"Friendship is not a game to play, It is not a word to say, It doesn\'t start on March and ends on May, It is tomorrow, yesterday, today and e"
3985,0,"Hey, I missed you tm of last night as my phone was on the charge ... *smiles* ... I am meeting a friend shortly"
35,0,Yup... Ok i go home look at the timings then i msg ü again... Xuhui going to learn on 2nd may too but her lesson is at 8am
4525,0,I've sent ü my part..
2345,0,Okie...
3932,0,Nooooooo I'm gonna be bored to death all day. Cable and internet outage.
3312,0,HI DARLIN HOW WAS WORK DID U GET INTO TROUBLE? IJUST TALKED TO YOUR MUM ALL MORNING! I HAD A REALLY GOOD TIME LAST NIGHT IM GOIN OUT SOON BUT CALL ME IF U CAN
2359,0,I'll talk to the others and probably just come early tomorrow then
3006,0,Ew are you one of them?
2206,0,"Haha, my legs and neck are killing me and my amigos are hoping to end the night with a burn, think I could swing by in like an hour?"
5384,0,How are you babes. Hope your doing ok. I had a shit nights sleep. I fell asleep at 5.Im knackered and im dreading work tonight. What are thou upto tonight. X
4778,0,Sorry completely forgot * will pop em round this week if your still here?
3179,0,K k :-):-) then watch some films.
3422,1,Welcome! Please reply with your AGE and GENDER to begin. e.g 24M
1286,0,"Just wondering, the others just took off"
4995,0,My drive can only be read. I need to write
349,1,Fancy a shag? I do.Interested? sextextuk.com txt XXUK SUZY to 69876. Txts cost 1.50 per msg. TnCs on website. X
3416,0,He remains a bro amongst bros
2137,0,Well done and ! luv ya all 
2691,1,sports fans - get the latest sports news str* 2 ur mobile 1 wk FREE PLUS a FREE TONE Txt SPORT ON to 8007 www.getzed.co.uk 0870141701216+ norm 4txt/120p 
3905,1,Your 2004 account for 07XXXXXXXXX shows 786 unredeemed points. To claim call 08719181259 Identifier code: XXXXX Expires 26.03.05
3868,0,"Alright we're hooked up, where you guys at"
1681,0,Okay... We wait ah
4521,0,What to think no one saying clearly. Ok leave no need to ask her. I will go if she come or not
1443,0,"Its ok., i just askd did u knw tht no?"
4016,1,You will be receiving this week's Triple Echo ringtone shortly. Enjoy it!
3215,0,"Babe, have you got enough money to pick up bread and milk ? And I'll give you it back when you get home ?"
1671,0,Lmao!nice 1
3650,0,Hmm ill have to think about it... ok you're forgiven! =D
1179,0,"I'm outside islands, head towards hard rock and you'll run into me"
2798,0,If I get there before you after your ten billion calls and texts so help me god
1692,0,I don't know but I'm raping dudes at poker
4444,0,You know my old Dom I told you about yesterday ? His name is Roger? He got in touch with me last night and wants me to meet him today at 2 pm
372,0,I will spoil you in bed as well :)
3055,0,What happened to our yo date?
4286,0,I pocked you up there before
1916,0,Its not that time of the month nor mid of the time?
1357,0,U ned to convince him tht its not possible witot hurting his feeling its the main
1825,0,Sent me ur email id soon
786,0,"She was supposed to be but couldn't make it, she's still in town though"
469,0,"Yup, no need. I'll jus wait 4 e rain 2 stop."
140,0,Got c... I lazy to type... I forgot ü in lect... I saw a pouch but like not v nice...
788,1,Ever thought about living a good life with a perfect partner? Just txt back NAME and AGE to join the mobile community. (100p/SMS)
323,0,cud u tell ppl im gona b a bit l8 cos 2 buses hav gon past cos they were full & im still waitin 4 1. Pete x
50,0,What you thinked about me. First time you saw me in class.
714,0,"Save yourself the stress. If the person has a dorm account, just send your account details and the money will be sent to you."
5004,1,CDs 4u: Congratulations ur awarded £500 of CD gift vouchers or £125 gift guaranteed & Freeentry 2 £100 wkly draw xt MUSIC to 87066 TnCs www.ldew.com1win150ppmx3age16 
2840,0,"Easy mate, * guess the quick drink was bit ambitious."
2446,0,"The guy (kadeem) hasn't been selling since the break, I know one other guy but he's paranoid as fuck and doesn't like selling without me there and I can't be up there til late tonight"
5360,0,"Hey, iouri gave me your number, I'm wylie, ryan's friend"
4089,0,He needs to stop going to bed and make with the fucking dealing
4926,0,Ok... Let u noe when i leave my house.
5118,0,Are you driving or training?
5202,0,WOT STUDENT DISCOUNT CAN U GET ON BOOKS?
2666,0,R u meeting da ge at nite tmr?
406,0,"Haha get used to driving to usf man, I know a lot of stoners"
20,0,Is that seriously how you spell his name?
1004,0,&lt;#&gt;  am I think? Should say on syllabus
5331,0,X course it 2yrs. Just so her messages on messenger lik you r sending me
890,0,Wife.how she knew the time of murder exactly
2411,0,Ok... Thanx... Gd nite 2 ü too...
2545,0,"She is our sister.. She belongs 2 our family.. She is d hope of tomorrow.. Pray 4 her,who was fated 4 d Shoranur train incident. Lets hold our hands together &amp; fuelled by love &amp; concern prior 2 her grief &amp; pain. Pls join in dis chain &amp; pass it. STOP VIOLENCE AGAINST WOMEN."
1349,0,"Nothing much, chillin at home. Any super bowl plan?"
2390,0,Boo. How's things? I'm back at home and a little bored already :-(
4481,0,"Y cant u try new invention to fly..i'm not joking.,"
42,1,07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow
2830,1,Send a logo 2 ur lover - 2 names joined by a heart. Txt LOVE NAME1 NAME2 MOBNO eg LOVE ADAM EVE 07123456789 to 87077 Yahoo! POBox36504W45WQ TxtNO 4 no ads 150p.
4095,0,how are you? I miss you!
3371,0,Most of the tiime when i don't let you hug me it's so i don't break into tears.
3022,0,Am in film ill call you later.
3364,0,Can... I'm free...
303,0,Oh and by the way you do have more food in your fridge! Want to go out for a meal tonight? 
5030,1,I'd like to tell you my deepest darkest fantasies. Call me 09094646631 just 60p/min. To stop texts call 08712460324 (nat rate)
11,1,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info"
664,0,Leave it de:-). Start Prepare for next:-)..
1177,0,"Did he say how fantastic I am by any chance, or anything need a bigger life lift as losing the will 2 live, do you think I would be the first person 2 die from N V Q? "
3292,0,"I'm not smoking while people use ""wylie smokes too much"" to justify ruining my shit"
2676,0,I'm sick !! I'm needy !! I want you !! *pouts* *stomps feet* Where are you ?! *pouts* *stomps feet* I want my slave !! I want him now !!
1947,0,Hey we can go jazz power yoga hip hop kb and yogasana 
2501,0,Remember to ask alex about his pizza
1473,0,"Just sent you an email – to an address with incomm in it, is that right?"
2863,1,Adult 18 Content Your video will be with you shortly
2375,0,Dunno lei he neva say...
2132,0,S...from the training manual it show there is no tech process:)its all about password reset and troubleshooting:)
1026,0,I have a sore throat. It's scratches when I talk
2989,0,Do you still have the grinder?
961,0,U sure u can't take any sick time?
2889,0,I take it we didn't have the phone callon Friday. Can we assume we won't have it this year now?
3021,0,I thank you so much for all you do with selflessness. I love you plenty.
3015,0,I might go 2 sch. Yar at e salon now v boring.
3879,0,What you need. You have a person to give na.
3338,0,I AM AT THE GAS STATION. GO THERE.
2009,0,See the forwarding message for proof
2149,0,I will once i get home
1963,1,it to 80488. Your 500 free text messages are valid until 31 December 2005.
2338,0,Tell your friends what you plan to do on Valentines day @ &lt;URL&gt;
3800,0,"Actually nvm, got hella cash, we still on for  &lt;#&gt; ish?"
735,0,Leaving to qatar tonite in search of an opportunity.all went fast.pls add me in ur prayers dear.Rakhesh
304,0,He is a womdarfull actor
1440,0,In fact when do you leave? I think addie goes back to school tues or wed
1496,0,Hey gals.. Anyone of u going down to e driving centre tmr?
2652,0,"Text me when you get off, don't call, my phones having problems"
2875,0,Crucify is c not s. You should have told me earlier.
916,0,I could ask carlos if we could get more if anybody else can chip in
4655,0,Hope you are having a great day.
710,1,4mths half price Orange line rental & latest camera phones 4 FREE. Had your phone 11mths+? Call MobilesDirect free on 08000938767 to update now! or2stoptxt T&Cs
5152,0,Idk. I'm sitting here in a stop and shop parking lot right now bawling my eyes out because i feel like i'm a failure in everything. Nobody wants me and now i feel like i'm failing you.
4918,1,"This is the 2nd time we have tried 2 contact u. U have won the 750 Pound prize. 2 claim is easy, call 08712101358 NOW! Only 10p per min. BT-national-rate"
2772,0,Then ur sis how?
1624,0,"Ah, well that confuses things, doesn‘t it?"
4423,0,MMM ... Fuck .... Merry Christmas to me
821,0,Good afternoon starshine! How's my boytoy? Does he crave me yet? Ache to fuck me ? *sips cappuccino* I miss you babe *teasing kiss*
4083,0,No no. I will check all rooms befor activities
1354,0,"Goodnight, sleep well da please take care pa. Please."
5013,0,U attend ur driving lesson how many times a wk n which day?
850,1,"Today's Offer! Claim ur £150 worth of discount vouchers! Text YES to 85023 now! SavaMob, member offers mobile! T Cs 08717898035. £3.00 Sub. 16 . Unsub reply X"
3350,0,Oh is it! Which brand?
1000,0,"Aight will do, thanks again for comin out"
5101,0,Nope thats fine. I might have a nap tho! 
3947,0,How u doin baby girl ?? hope u are okay every time I call ure phone is off! I miss u get in touch
4148,0,Pls help me tell sura that i'm expecting a battery from hont. And that if should pls send me a message about how to download movies. Thanks
3525,0,Yeah that'd pretty much be the best case scenario
18,0,Fine if thats the way u feel. Thats the way its gota b
1637,0,"No shit, but I wasn't that surprised, so I went and spent the evening with that french guy I met in town here and we fooled around a bit but I didn't let him fuck me"
1667,0,Guess who spent all last night phasing in and out of the fourth dimension
493,0,"Sorry,in meeting I'll call later"
3173,0,Do u still have plumbers tape and a wrench we could borrow?
5468,1,"URGENT! Last weekend's draw shows that you have won £1000 cash or a Spanish holiday! CALL NOW 09050000332 to claim. T&C: RSTM, SW7 3SS. 150ppm"
4244,0,Okie...
1347,0,Is it ok if I stay the night here? Xavier has a sleeping bag and I'm getting tired
3018,0,One of the joys in lifeis waking up each daywith thoughts that somewhereSomeone cares enough tosend a warm morning greeting.. -
4353,0,Hows the pain dear?y r u smiling?
3230,1,Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send COLLECT to 83600 only 150p/msg. CC: 08718720201 PO BOX 114/14 TCR/W1
5413,0,Nite nite pocay wocay luv u more than n e thing 4eva I promise ring u 2morrowxxxx
4287,0,Congrats. That's great. I wanted to tell you not to tell me your score cos it might make me relax. But its motivating me so thanks for sharing
2828,0,"Oh right, ok. I'll make sure that i do loads of work during the day!  got a really nasty cough today and is dry n shot so that should really help it!"
687,0,"Every King Was Once A Crying Baby And Every Great Building Was Once A Map.. Not Imprtant Where U r TODAY, BUT Where U Wil Reach TOMORW. Gud ni8"
1112,0,"Awesome, think we can get an 8th at usf some time tonight?"
3232,0,No plm i will come da. On the way.
